machine_id,temperature,torque,tool_wear,vibration_index,anomaly_score
M_1,295.17,43.52,0.1864,0.5,0.136
M_2,304.28,43.53,0.49,0.69,0.368
M_1,296.69,45.93,0.1297,0.469,0.1
M_2,294.55,42.23,0.1448,0.409,0.086
M_1,296.55,42.91,0.0982,0.373,0.052
M_1,306.7,41.9,0.6236,0.827,0.492
M_1,297.67,43.57,0.2814,0.543,0.194
M_3,296.47,45.07,0.0508,0.46,0.061
M_1,298.58,41.07,0.1686,0.441,0.108
M_3,296.62,41.9,0.1356,0.429,0.089
M_2,296.76,40.92,0.1125,0.49,0.1
M_3,296.92,43.65,0.111,0.5,0.103
M_2,303.14,46.37,0.5289,0.704,0.383
M_2,298.98,43.94,0.3329,0.58,0.23
M_1,296.47,45.82,0.3517,0.737,0.294
M_1,294.14,40.97,0.0389,0.358,0.02
M_1,294.63,42.78,0.2106,0.424,0.121
M_2,294.06,43.17,0.0752,0.389,0.048
M_3,298.98,43.72,0.2794,0.652,0.232
M_3,292.45,42.79,0.1221,0.44,0.087
M_1,293.62,41.22,0.0673,0.402,0.048
M_1,301.53,43.72,0.0495,0.473,0.076
M_1,296.58,38.91,0.0074,0.27,0.0
M_1,295.47,42.03,0.2118,0.469,0.137
M_3,298.09,43.94,0.2727,0.649,0.227
M_3,295.74,40.17,0.2204,0.459,0.137
M_1,294.2,42.17,0.116,0.432,0.081
M_3,297.26,44.39,0.3136,0.546,0.21
M_1,303.63,45.36,0.5847,0.786,0.44
M_3,297.38,41.9,0.1283,0.535,0.122
M_2,298.12,44.07,0.2091,0.541,0.161
M_2,298.31,40.96,0.0564,0.329,0.018
M_3,298.71,43.86,0.0106,0.22,0.0
M_2,296.18,42.62,0.0607,0.467,0.068
M_2,295.31,45.32,0.2151,0.54,0.163
M_2,296.12,41.9,0.1823,0.419,0.106
M_1,294.28,40.13,0.1996,0.443,0.122
M_3,298.19,42.63,0.3217,0.588,0.228
M_3,297.92,45.4,0.1454,0.404,0.084
M_2,299.03,45.17,0.4347,0.625,0.292
M_2,299.37,45.22,0.4857,0.754,0.36
M_3,292.53,44.01,0.113,0.457,0.088
M_3,296.21,42.64,0.1004,0.354,0.047
M_1,291.46,40.44,0.1478,0.427,0.093
M_3,294.76,41.79,0.4129,0.729,0.319
M_2,298.7,42.56,0.1162,0.382,0.063
M_1,300.02,41.38,0.2679,0.491,0.17
M_1,296.28,43.93,0.0144,0.463,0.046
M_1,303.22,44.76,0.4007,0.576,0.281
M_1,293.1,44.02,0.0119,0.284,0.0
M_1,294.42,42.49,0.0256,0.443,0.044
M_2,300.45,42.32,0.3142,0.699,0.267
M_3,299.34,42.52,0.0812,0.476,0.081
M_1,302.25,46.1,0.3995,0.645,0.298
M_3,294.55,41.91,0.3488,0.663,0.266
M_2,294.43,44.49,0.1188,0.342,0.051
M_3,295.8,40.63,0.0771,0.437,0.065
M_2,294.42,42.34,0.0981,0.488,0.092
M_3,303.71,43.19,0.5206,0.71,0.385
M_1,297.09,44.11,0.0451,0.431,0.049
M_2,298.98,42.63,0.3015,0.605,0.225
M_2,296.76,41.78,0.0184,0.314,0.0
M_1,292.28,43.02,0.0659,0.398,0.046
M_1,296.74,45.12,0.2362,0.504,0.16
M_1,298.22,40.43,0.4964,0.741,0.36
M_2,296.51,42.31,0.2683,0.611,0.212
M_1,297.5,42.68,0.1728,0.575,0.157
M_2,295.85,41.16,0.1218,0.532,0.119
M_3,295.77,44.56,0.2027,0.63,0.189
M_1,301.37,45.48,0.4233,0.616,0.293
M_3,301.87,44.07,0.4403,0.625,0.307
M_1,294.93,39.48,0.0318,0.44,0.046
M_3,293.98,44.03,0.1767,0.369,0.086
M_2,296.94,45.22,0.0483,0.386,0.034
M_1,299.67,44.73,0.2832,0.597,0.214
M_3,301.48,43.15,0.3237,0.567,0.232
M_2,298.06,42.35,0.1719,0.495,0.128
M_1,298.65,45.92,0.1697,0.474,0.12
M_3,299.67,43.47,0.1584,0.44,0.103
M_2,295.38,42.69,0.107,0.437,0.078
M_2,294.26,39.81,0.0921,0.536,0.106
M_1,298.26,46.37,0.3873,0.499,0.226
M_2,298.52,44.33,0.2709,0.618,0.216
M_3,296.66,41.02,0.1847,0.532,0.147
M_1,296.85,42.69,0.0206,0.318,0.0
M_2,298.62,43.61,0.2303,0.509,0.159
M_3,302.94,47.32,0.7151,0.881,0.527
M_1,302.77,42.91,0.4725,0.68,0.347
M_3,304.21,44.39,0.5016,0.755,0.396
M_3,299.15,45.62,0.2363,0.446,0.14
M_2,299.16,46.32,0.4053,0.574,0.261
M_2,302.29,45.09,0.2532,0.511,0.186
M_3,302.55,43.78,0.4026,0.597,0.285
M_2,303.59,42.77,0.3647,0.604,0.277
M_3,295.27,41.98,0.0651,0.496,0.08
M_3,297.91,41.98,0.2791,0.426,0.152
M_1,302.09,41.21,0.263,0.505,0.187
M_2,298.49,42.21,0.0664,0.517,0.088
M_2,293.29,44.59,0.1805,0.4,0.099
M_1,297.37,42.08,0.13,0.457,0.096
M_1,298.13,42.71,0.0766,0.512,0.091
M_1,294.62,42.78,0.0661,0.322,0.02
M_1,291.48,41.12,0.1137,0.394,0.067
M_1,298.84,44.41,0.1439,0.502,0.118
M_1,303.2,42.33,0.2026,0.587,0.195
M_2,296.66,39.49,0.1219,0.373,0.063
M_2,296.5,42.39,0.0413,0.383,0.03
M_3,295.87,41.08,0.0149,0.298,0.0
M_2,297.54,46.15,0.1356,0.454,0.097
M_3,293.63,44.9,0.1124,0.5,0.103
M_1,294.14,41.65,0.0111,0.406,0.025
M_3,299.1,43.92,0.2168,0.446,0.131
M_1,301.74,45.28,0.3193,0.493,0.205
M_3,297.96,43.16,0.5158,0.582,0.313
M_2,295.61,39.73,0.044,0.569,0.097
M_3,299.68,42.59,0.115,0.45,0.087
M_3,297.83,42.43,0.1209,0.423,0.08
M_1,297.86,39.83,0.0472,0.346,0.02
M_2,298.91,44.3,0.2187,0.471,0.141
M_1,294.69,42.47,0.0947,0.449,0.077
M_2,297.41,43.52,0.1014,0.357,0.048
M_1,301.73,41.48,0.1814,0.531,0.156
M_2,295.16,46.06,0.0883,0.442,0.072
M_2,293.72,39.98,0.0091,0.454,0.04
M_1,299.12,44.3,0.4292,0.753,0.334
M_2,296.87,42.47,0.3849,0.607,0.263
M_1,293.85,43.07,0.0298,0.383,0.025
M_3,299.75,42.82,0.0471,0.309,0.007
M_2,302.74,43.51,0.5002,0.779,0.393
M_2,294.47,40.16,0.0674,0.471,0.073
M_2,298.25,43.54,0.3351,0.596,0.237
M_2,294.28,41.7,0.194,0.415,0.11
M_1,296.89,42.98,0.1507,0.506,0.122
M_1,303.86,45.35,0.4306,0.653,0.326
M_2,295.35,43.55,0.1862,0.47,0.126
M_2,290.74,41.89,0.0552,0.396,0.041
M_3,301.89,43.69,0.5611,0.591,0.35
M_1,295.8,39.25,0.053,0.39,0.038
M_2,301.93,44.98,0.3154,0.471,0.197
M_2,293.71,41.42,0.0103,0.337,0.0
M_1,299.15,41.16,0.0653,0.487,0.077
M_1,297.83,44.53,0.2622,0.59,0.202
M_1,300.27,42.99,0.4604,0.697,0.331
M_1,292.39,42.64,0.0906,0.366,0.046
M_1,295.86,43.87,0.1626,0.456,0.11
M_1,298.43,40.87,0.0423,0.324,0.01
M_3,298.54,41.41,0.0784,0.365,0.04
M_1,300.35,45.77,0.4495,0.674,0.318
M_3,296.06,43.33,0.0341,0.372,0.023
M_3,303.23,42.76,0.4356,0.733,0.352
M_3,295.41,43.68,0.0647,0.347,0.028
M_1,297.79,43.81,0.2382,0.464,0.147
M_3,298.8,43.8,0.242,0.468,0.15
M_3,295.0,41.29,0.1069,0.297,0.03
M_1,298.83,40.54,0.2563,0.598,0.202
M_1,298.91,42.6,0.081,0.446,0.07
M_3,293.77,42.5,0.0226,0.384,0.022
M_2,301.28,40.35,0.2996,0.698,0.265
M_3,294.07,42.34,0.1713,0.419,0.101
M_2,298.36,41.0,0.1978,0.589,0.173
M_1,297.46,43.04,0.1401,0.606,0.152
M_2,290.42,43.1,0.0544,0.339,0.021
M_3,300.42,42.61,0.2475,0.499,0.166
M_1,299.18,43.92,0.097,0.542,0.111
M_3,299.85,44.0,0.182,0.392,0.097
M_2,295.82,41.75,0.2527,0.501,0.167
M_1,299.77,43.45,0.1434,0.485,0.112
M_3,297.84,43.67,0.2264,0.53,0.165
M_2,298.44,42.0,0.0719,0.294,0.013
M_1,294.62,40.6,0.0256,0.454,0.048
M_1,297.95,44.05,0.1697,0.455,0.113
M_2,296.61,41.7,0.1074,0.396,0.064
M_3,298.52,44.15,0.2748,0.557,0.196
M_2,294.74,43.53,0.1529,0.532,0.133
M_1,295.83,43.25,0.2383,0.473,0.15
M_1,300.25,45.7,0.3879,0.538,0.242
M_2,302.62,45.52,0.2162,0.474,0.158
M_2,290.49,42.22,0.0689,0.412,0.053
M_1,296.33,42.22,0.1632,0.484,0.12
M_2,291.96,40.67,0.0142,0.481,0.052
M_2,294.37,39.52,0.066,0.475,0.073
M_1,296.78,43.82,0.1345,0.476,0.105
M_2,302.5,44.77,0.6817,0.874,0.507
M_1,297.82,41.16,0.0262,0.321,0.002
M_2,297.38,42.16,0.1092,0.363,0.054
M_3,298.22,44.33,0.3731,0.628,0.265
M_2,296.65,41.8,0.0643,0.503,0.083
M_3,295.42,43.65,0.0209,0.314,0.0
M_1,292.64,45.14,0.0566,0.416,0.049
M_1,296.19,40.9,0.0212,0.363,0.014
M_2,294.75,41.34,0.0578,0.443,0.058
M_1,296.27,42.86,0.0326,0.294,0.0
M_3,294.62,42.2,0.2656,0.442,0.152
M_2,295.06,42.84,0.0513,0.38,0.034
M_1,300.88,42.25,0.2634,0.478,0.169
M_3,294.6,44.08,0.3212,0.558,0.217
M_2,297.48,43.43,0.019,0.389,0.022
M_3,292.54,41.79,0.1338,0.451,0.095
M_2,297.07,43.95,0.1225,0.38,0.066
M_1,295.61,42.97,0.2843,0.563,0.203
M_3,298.18,42.55,0.1104,0.526,0.111
M_2,293.78,39.79,0.0283,0.265,0.0
M_2,295.05,40.48,0.1483,0.428,0.094
M_3,296.61,42.72,0.0722,0.358,0.035
M_1,299.19,42.38,0.3867,0.643,0.277
M_1,296.07,41.52,0.1022,0.427,0.073
M_3,298.28,40.3,0.1672,0.483,0.122
M_1,296.9,43.81,0.2366,0.548,0.176
M_2,297.47,40.22,0.1817,0.532,0.146
M_1,295.31,42.21,0.0462,0.452,0.056
M_2,297.09,43.07,0.1497,0.532,0.131
M_3,296.23,45.14,0.5111,0.713,0.357
M_3,299.59,41.31,0.3554,0.666,0.27
M_3,296.1,42.48,0.1482,0.481,0.113
M_1,298.12,39.16,0.1704,0.46,0.115
M_3,300.14,45.33,0.2276,0.467,0.144
M_2,296.96,42.4,0.1431,0.383,0.076
M_3,296.75,43.0,0.1653,0.562,0.148
M_3,298.09,46.7,0.1884,0.417,0.108
M_1,293.26,41.15,0.0192,0.437,0.039
M_1,300.95,44.33,0.4613,0.598,0.301
M_3,296.67,44.87,0.1785,0.539,0.146
M_3,297.6,44.11,0.1191,0.449,0.088
M_1,296.49,42.88,0.233,0.518,0.164
M_2,300.48,40.78,0.2387,0.532,0.174
M_1,298.85,40.9,0.0373,0.307,0.002
M_1,297.0,42.3,0.1481,0.487,0.115
M_1,301.37,42.13,0.1231,0.26,0.033
M_3,299.06,42.82,0.1267,0.407,0.077
M_2,302.62,44.71,0.4836,0.74,0.372
M_1,295.49,44.19,0.1857,0.572,0.161
M_3,295.98,43.21,0.0751,0.384,0.046
M_2,295.84,41.76,0.2289,0.414,0.125
M_3,291.75,42.0,0.0503,0.374,0.031
M_1,298.51,44.78,0.208,0.536,0.159
M_2,298.86,43.65,0.2221,0.552,0.171
M_2,294.9,40.79,0.0591,0.324,0.018
M_1,301.06,41.67,0.3059,0.564,0.219
M_3,295.72,43.72,0.0286,0.36,0.016
M_2,296.62,45.57,0.1484,0.446,0.1
M_1,293.72,42.84,0.0659,0.361,0.034
M_1,295.54,41.62,0.0745,0.385,0.046
M_3,297.32,45.33,0.2874,0.466,0.17
M_1,304.0,44.88,0.4775,0.735,0.376
M_1,300.67,40.94,0.2487,0.47,0.158
M_1,295.02,43.04,0.0663,0.403,0.048
M_1,299.37,42.15,0.4114,0.57,0.262
M_1,296.5,42.03,0.0489,0.421,0.047
M_1,295.44,42.63,0.0865,0.454,0.075
M_2,292.18,44.74,0.0202,0.402,0.027
M_1,295.52,42.27,0.3771,0.655,0.276
M_3,296.33,43.04,0.2031,0.503,0.145
M_3,296.56,41.72,0.1728,0.485,0.125
M_3,294.85,42.76,0.183,0.41,0.103
M_3,299.98,41.28,0.1561,0.49,0.119
M_1,296.73,42.76,0.1767,0.408,0.1
M_3,294.21,43.11,0.2065,0.506,0.147
M_3,296.94,39.76,0.0391,0.352,0.018
M_1,296.27,45.08,0.2769,0.509,0.18
M_1,293.61,41.13,0.1434,0.445,0.098
M_1,299.1,43.8,0.2454,0.547,0.179
M_2,294.09,43.7,0.0942,0.365,0.048
M_1,295.65,44.74,0.1896,0.389,0.099
M_1,290.52,43.79,0.0256,0.443,0.044
M_1,296.93,44.01,0.2453,0.524,0.171
M_1,299.53,43.58,0.4762,0.739,0.35
M_3,294.81,37.03,0.0596,0.447,0.061
M_1,295.97,42.81,0.0393,0.221,0.0
M_1,291.06,45.0,0.2809,0.619,0.221
M_1,291.04,41.72,0.2031,0.534,0.156
M_1,293.24,45.04,0.0788,0.347,0.035
M_1,296.49,43.29,0.0276,0.341,0.009
M_2,295.42,40.88,0.1086,0.381,0.06
M_3,300.05,41.21,0.3988,0.663,0.289
M_1,294.21,42.47,0.1853,0.498,0.135
M_3,296.91,43.54,0.0714,0.44,0.064
M_1,296.71,41.64,0.0778,0.338,0.031
M_3,303.42,44.09,0.6715,0.674,0.438
M_2,299.82,43.73,0.2159,0.528,0.16
M_1,298.88,43.61,0.3332,0.521,0.21
M_3,295.31,43.8,0.1607,0.439,0.103
M_3,299.25,40.63,0.3241,0.555,0.217
M_3,297.86,44.15,0.1831,0.47,0.124
M_3,296.12,43.46,0.1016,0.431,0.074
M_3,294.86,41.32,0.1889,0.453,0.121
M_2,298.7,43.43,0.2298,0.514,0.161
M_1,291.63,42.14,0.0836,0.37,0.044
M_2,294.24,40.94,0.0672,0.503,0.084
M_2,292.51,43.87,0.1204,0.365,0.06
M_3,299.39,43.76,0.2946,0.589,0.216
M_2,295.64,43.24,0.0385,0.347,0.016
M_3,296.23,43.0,0.1317,0.39,0.073
M_3,300.75,44.53,0.1148,0.401,0.074
M_1,293.47,43.74,0.2634,0.476,0.163
M_2,290.78,42.03,0.0292,0.35,0.013
M_2,298.39,41.75,0.1579,0.415,0.094
M_3,300.38,40.57,0.1456,0.438,0.099
M_2,295.6,39.94,0.1497,0.409,0.088
M_1,296.67,43.35,0.3489,0.653,0.263
M_2,297.93,43.95,0.125,0.375,0.065
M_3,296.83,42.65,0.1203,0.418,0.078
M_2,299.12,42.8,0.1957,0.507,0.143
M_1,293.03,43.57,0.2853,0.568,0.205
M_3,291.78,41.26,0.2151,0.498,0.149
M_2,302.17,42.44,0.3638,0.611,0.269
M_2,298.49,42.88,0.3364,0.611,0.243
M_1,293.62,43.23,0.1404,0.396,0.079
M_3,304.75,45.93,0.5865,0.648,0.4
M_1,301.63,42.45,0.1503,0.453,0.114
M_2,299.35,45.0,0.2506,0.5,0.165
M_3,299.7,44.73,0.217,0.436,0.128
M_1,300.16,47.53,0.2122,0.482,0.143
M_3,296.14,43.6,0.0828,0.405,0.057
M_3,294.36,44.05,0.0077,0.368,0.01
M_1,294.68,41.14,0.0118,0.321,0.0
M_3,301.17,42.4,0.3751,0.649,0.281
M_1,293.86,42.66,0.1434,0.498,0.116
M_1,295.21,42.68,0.3532,0.528,0.221
M_3,293.24,42.87,0.0685,0.417,0.054
M_2,297.74,45.35,0.4843,0.712,0.345
M_1,298.51,44.05,0.3093,0.502,0.192
M_2,293.25,43.06,0.0405,0.308,0.003
M_1,297.49,43.44,0.0538,0.419,0.049
M_1,297.64,41.66,0.118,0.413,0.075
M_2,297.4,45.62,0.2918,0.535,0.196
M_1,298.88,41.26,0.1954,0.532,0.152
M_3,293.49,43.53,0.1243,0.523,0.116
M_2,291.67,41.16,0.0405,0.273,0.0
M_1,297.24,40.23,0.0828,0.378,0.047
M_3,297.8,43.51,0.1187,0.5,0.106
M_3,299.14,44.04,0.453,0.731,0.337
M_3,301.82,43.71,0.2172,0.576,0.189
M_2,295.25,40.33,0.058,0.387,0.039
M_2,300.22,43.6,0.2334,0.526,0.168
M_2,301.09,43.41,0.5231,0.783,0.394
M_2,303.28,44.44,0.1557,0.462,0.131
M_3,300.73,44.67,0.1392,0.409,0.088
M_3,294.54,42.2,0.1174,0.42,0.077
M_2,294.44,42.16,0.207,0.528,0.155
M_1,300.87,45.5,0.3116,0.585,0.228
M_2,300.46,41.9,0.292,0.469,0.176
M_3,293.34,41.65,0.1005,0.375,0.054
M_1,294.54,43.04,0.3636,0.628,0.261
M_3,299.64,44.57,0.1597,0.438,0.103
M_1,297.0,42.77,0.0947,0.387,0.055
M_1,295.84,42.46,0.0503,0.445,0.056
M_3,297.16,42.35,0.292,0.518,0.19
M_1,300.59,45.23,0.5294,0.776,0.391
M_3,295.64,42.24,0.1946,0.445,0.121
M_2,293.65,41.74,0.1627,0.564,0.148
M_1,295.86,42.78,0.0338,0.416,0.038
M_1,305.07,41.64,0.4355,0.682,0.346
M_3,298.32,42.68,0.1202,0.502,0.107
M_3,291.23,45.07,0.12,0.487,0.102
M_2,295.99,43.58,0.0641,0.403,0.047
M_2,302.38,42.15,0.4576,0.692,0.341
M_1,294.48,39.71,0.0545,0.373,0.033
M_1,299.89,43.79,0.0783,0.417,0.059
M_2,299.9,43.0,0.4598,0.712,0.334
M_2,292.37,40.11,0.0077,0.444,0.036
M_3,296.38,41.89,0.1601,0.379,0.082
M_3,295.71,39.95,0.0981,0.448,0.078
M_2,296.09,44.31,0.1631,0.425,0.1
M_2,294.54,41.12,0.1791,0.533,0.145
M_1,301.21,43.77,0.4639,0.688,0.335
M_2,291.37,40.3,0.0313,0.454,0.051
M_3,303.54,44.89,0.4467,0.679,0.34
M_2,296.41,41.68,0.1613,0.42,0.097
M_3,303.1,40.35,0.2413,0.544,0.197
M_1,295.25,43.8,0.1665,0.445,0.108
M_2,291.89,43.88,0.0633,0.424,0.054
M_1,296.5,41.49,0.1081,0.437,0.079
M_1,294.39,43.61,0.2204,0.471,0.141
M_3,297.41,43.59,0.3119,0.529,0.203
M_3,293.84,42.52,0.1083,0.453,0.085
M_2,301.11,45.2,0.2945,0.51,0.196
M_3,297.71,43.06,0.3732,0.529,0.231
M_1,298.25,40.06,0.1734,0.489,0.127
M_2,295.15,43.92,0.1441,0.434,0.094
M_3,299.89,41.57,0.1022,0.463,0.086
M_2,295.95,42.54,0.1341,0.42,0.085
M_2,293.14,44.04,0.2239,0.347,0.1
M_3,297.15,44.01,0.333,0.516,0.208
M_2,300.41,42.2,0.1411,0.391,0.08
M_1,300.24,43.95,0.3175,0.495,0.195
M_2,296.81,43.36,0.0142,0.297,0.0
M_2,296.87,41.78,0.0843,0.341,0.035
M_2,291.88,44.53,0.1382,0.44,0.094
M_1,290.83,45.89,0.0624,0.451,0.063
M_3,298.36,43.62,0.5217,0.719,0.364
M_3,294.18,43.74,0.1187,0.426,0.08
M_2,298.0,43.7,0.0821,0.332,0.031
M_3,303.37,43.94,0.5488,0.771,0.417
M_2,298.37,44.68,0.2151,0.486,0.144
M_3,293.77,40.02,0.0541,0.328,0.017
M_3,296.58,41.86,0.1049,0.356,0.049
M_3,303.85,45.6,0.5051,0.74,0.389
M_3,301.58,44.57,0.2276,0.599,0.2
M_2,295.14,40.25,0.1872,0.494,0.135
M_1,299.1,43.29,0.1541,0.414,0.092
M_3,301.79,44.12,0.1853,0.377,0.105
M_1,292.94,43.51,0.0894,0.437,0.071
M_2,301.64,44.34,0.2928,0.504,0.197
M_1,296.57,41.67,0.2443,0.636,0.21
M_3,290.66,42.87,0.077,0.447,0.069
M_2,300.09,43.64,0.2986,0.621,0.23
M_1,297.1,42.17,0.3435,0.641,0.256
M_3,292.19,43.77,0.176,0.544,0.147
M_3,298.76,41.28,0.1634,0.517,0.132
M_3,303.19,41.8,0.3582,0.656,0.29
M_1,296.26,43.79,0.0475,0.381,0.032
M_3,299.13,40.47,0.3698,0.585,0.249
M_2,299.97,41.0,0.3421,0.542,0.221
M_3,295.5,39.94,0.1377,0.446,0.096
M_1,296.38,40.71,0.0747,0.294,0.014
M_1,298.28,42.89,0.0433,0.517,0.078
M_2,296.28,42.13,0.018,0.305,0.0
M_2,302.76,43.48,0.2864,0.62,0.242
M_1,292.67,42.0,0.2447,0.57,0.187
M_3,296.45,43.56,0.3815,0.607,0.262
M_2,298.44,44.53,0.0655,0.388,0.043
M_2,299.27,41.7,0.3723,0.641,0.269
M_3,293.43,42.41,0.0624,0.423,0.053
M_2,291.08,43.61,0.0579,0.462,0.065
M_3,299.0,43.81,0.3934,0.609,0.268
M_3,301.01,45.82,0.3955,0.637,0.285
M_2,299.91,43.73,0.2224,0.463,0.14
M_2,297.92,41.74,0.0685,0.369,0.037
M_3,298.67,45.87,0.361,0.589,0.246
M_2,297.1,44.57,0.1228,0.508,0.111
M_3,300.06,41.19,0.3017,0.564,0.211
M_3,297.87,44.67,0.2061,0.528,0.155
M_2,294.38,42.65,0.2097,0.468,0.136
M_1,295.85,42.46,0.119,0.468,0.095
M_3,298.08,46.12,0.2423,0.552,0.18
M_1,301.02,44.59,0.3673,0.743,0.309
M_2,291.53,44.33,0.1498,0.514,0.125
M_3,299.14,43.03,0.235,0.454,0.142
M_3,298.16,40.08,0.0465,0.42,0.045
M_3,298.28,44.84,0.3695,0.549,0.236
M_2,296.93,43.44,0.1736,0.491,0.127
M_2,294.02,42.36,0.0765,0.348,0.034
M_2,300.37,43.11,0.2179,0.37,0.107
M_3,290.96,42.06,0.2109,0.427,0.122
M_2,293.97,41.69,0.1234,0.399,0.073
M_3,303.82,44.26,0.448,0.69,0.346
M_2,297.08,41.01,0.0553,0.333,0.019
M_3,292.96,41.97,0.0157,0.368,0.013
M_2,297.66,40.59,0.0443,0.3,0.003
M_2,297.14,42.74,0.1111,0.451,0.085
M_1,290.95,44.73,0.083,0.341,0.034
M_2,298.14,41.3,0.4117,0.561,0.259
M_1,292.91,43.05,0.0153,0.299,0.0
M_1,292.65,43.54,0.0067,0.4,0.02
M_3,299.27,40.76,0.1159,0.431,0.081
M_1,299.37,43.59,0.3568,0.498,0.212
M_3,293.39,42.1,0.054,0.361,0.028
M_2,301.54,41.19,0.3292,0.558,0.231
M_2,297.31,42.78,0.0376,0.362,0.021
M_3,297.06,42.72,0.1391,0.53,0.126
M_2,298.7,41.79,0.1589,0.439,0.102
M_2,299.4,46.65,0.3333,0.657,0.257
M_3,296.3,40.88,0.1309,0.392,0.073
M_3,299.5,42.08,0.2909,0.574,0.209
M_3,296.97,43.82,0.2525,0.574,0.192
M_1,301.84,42.99,0.3043,0.671,0.262
M_3,299.59,42.9,0.0898,0.354,0.042
M_3,301.6,42.88,0.3606,0.53,0.236
M_3,299.57,43.03,0.0994,0.388,0.058
M_2,297.07,43.06,0.2793,0.552,0.196
M_1,295.82,38.98,0.0978,0.483,0.091
M_1,297.2,40.26,0.4331,0.624,0.291
M_2,293.51,44.82,0.2811,0.614,0.219
M_2,297.89,42.41,0.2098,0.528,0.157
M_1,298.98,42.05,0.3781,0.622,0.265
M_3,296.76,40.21,0.2907,0.526,0.193
M_3,295.99,43.72,0.1868,0.483,0.131
M_2,295.89,41.21,0.0143,0.361,0.01
M_2,296.46,41.34,0.0886,0.332,0.033
M_3,297.3,45.08,0.1367,0.443,0.094
M_1,296.83,41.03,0.0926,0.392,0.056
M_2,298.66,42.11,0.1831,0.45,0.117
M_3,297.52,42.3,0.3956,0.589,0.261
M_2,295.41,39.16,0.0271,0.317,0.001
M_2,294.3,41.2,0.0335,0.452,0.051
M_3,297.85,42.29,0.1216,0.428,0.082
M_1,293.36,44.37,0.3591,0.461,0.201
M_1,298.52,42.55,0.3356,0.637,0.251
M_2,302.43,42.27,0.23,0.542,0.187
M_3,292.79,44.19,0.0207,0.282,0.0
M_3,289.83,40.26,0.0579,0.41,0.047
M_2,294.25,41.98,0.084,0.423,0.063
M_1,296.3,43.18,0.1181,0.369,0.06
M_1,291.66,41.66,0.0826,0.445,0.071
M_2,291.72,41.03,0.0346,0.308,0.001
M_2,297.61,39.89,0.219,0.609,0.189
M_1,301.82,44.05,0.4724,0.655,0.331
M_1,298.64,44.8,0.2078,0.439,0.125
M_2,296.4,42.11,0.235,0.507,0.161
M_1,300.13,43.62,0.4988,0.84,0.397
M_2,301.22,45.04,0.4039,0.628,0.287
M_1,299.09,40.96,0.1844,0.382,0.094
M_2,298.19,42.75,0.2812,0.661,0.236
M_3,298.78,42.39,0.3876,0.633,0.274
M_3,296.19,44.14,0.0186,0.282,0.0
M_3,292.63,42.97,0.0461,0.332,0.015
M_1,300.46,41.99,0.4047,0.641,0.287
M_2,295.27,43.14,0.1491,0.466,0.108
M_2,298.75,42.68,0.1015,0.483,0.092
